sim_mass,landing_rate,crash_rate,oob_rate,timeout_rate,landings,crashes,oob,timeouts,n_episodes
0.033,0.974,0.022,0.0,0.004,487,11,0,2,500
0.034,0.982,0.016,0.0,0.002,491,8,0,1,500
0.035,0.986,0.01,0.0,0.004,493,5,0,2,500
0.036,0.984,0.014,0.0,0.002,492,7,0,1,500
0.037,0.982,0.012,0.0,0.006,491,6,0,3,500
0.038,0.978,0.018,0.0,0.004,489,9,0,2,500
0.039,0.992,0.008,0.0,0.0,496,4,0,0,500
0.04,0.982,0.018,0.0,0.0,491,9,0,0,500
0.041,0.988,0.012,0.0,0.0,494,6,0,0,500
0.042,0.988,0.012,0.0,0.0,494,6,0,0,500
0.043,0.972,0.026,0.0,0.002,486,13,0,1,500
0.044,0.982,0.016,0.0,0.002,491,8,0,1,500
0.045,0.972,0.028,0.0,0.0,486,14,0,0,500
0.046,0.978,0.02,0.0,0.002,489,10,0,1,500
0.047,0.958,0.042,0.0,0.0,479,21,0,0,500
0.048,0.956,0.044,0.0,0.0,478,22,0,0,500
0.049,0.954,0.046,0.0,0.0,477,23,0,0,500
0.05,0.958,0.042,0.0,0.0,479,21,0,0,500
0.051,0.944,0.054,0.0,0.002,472,27,0,1,500
0.052,0.942,0.058,0.0,0.0,471,29,0,0,500
0.053,0.912,0.088,0.0,0.0,456,44,0,0,500
0.054,0.918,0.082,0.0,0.0,459,41,0,0,500
