mass,landing_rate,crash_rate,oob_rate,timeout_rate,landings,crashes,oob,timeouts,n_episodes
0.028,0.972,0.028,0.0,0.0,486,14,0,0,500
0.029,0.982,0.018,0.0,0.0,491,9,0,0,500
0.03,0.9840319361277445,0.015968063872255488,0.0,0.0,493,8,0,0,501
sim_mass,landing_rate,crash_rate,oob_rate,timeout_rate,landings,crashes,oob,timeouts,n_episodes
0.028,0.986,0.014,0.0,0.0,493,7,0,0,500
0.029,0.99,0.01,0.0,0.0,495,5,0,0,500
0.03,0.988,0.012,0.0,0.0,494,6,0,0,500
0.031,0.988,0.012,0.0,0.0,494,6,0,0,500
0.032,0.984,0.016,0.0,0.0,492,8,0,0,500
0.033,0.978,0.022,0.0,0.0,489,11,0,0,500
0.034,0.9840319361277445,0.015968063872255488,0.0,0.0,493,8,0,0,501
0.035,0.98,0.02,0.0,0.0,490,10,0,0,500
0.036,0.972,0.028,0.0,0.0,486,14,0,0,500
0.037,0.982,0.018,0.0,0.0,491,9,0,0,500
0.038,0.96,0.04,0.0,0.0,480,20,0,0,500
0.039,0.9500998003992016,0.0499001996007984,0.0,0.0,476,25,0,0,501
0.04,0.958,0.042,0.0,0.0,479,21,0,0,500
0.041,0.944,0.056,0.0,0.0,472,28,0,0,500
0.042,0.93,0.07,0.0,0.0,465,35,0,0,500
0.043,0.924,0.076,0.0,0.0,462,38,0,0,500
0.044,0.89,0.11,0.0,0.0,445,55,0,0,500
0.045,0.8682634730538922,0.1317365269461078,0.0,0.0,435,66,0,0,501
0.046,0.876,0.124,0.0,0.0,438,62,0,0,500
0.047,0.848,0.152,0.0,0.0,424,76,0,0,500
0.048,0.842,0.158,0.0,0.0,421,79,0,0,500
sim_mass,landing_rate,crash_rate,oob_rate,timeout_rate,landings,crashes,oob,timeouts,n_episodes
0.028,0.92,0.08,0.0,0.0,460,40,0,0,500
0.029,0.936,0.064,0.0,0.0,468,32,0,0,500
0.03,0.958,0.042,0.0,0.0,479,21,0,0,500
0.031,0.954,0.046,0.0,0.0,477,23,0,0,500
0.032,0.964,0.036,0.0,0.0,482,18,0,0,500
0.033,0.95,0.05,0.0,0.0,475,25,0,0,500
0.034,0.958,0.042,0.0,0.0,479,21,0,0,500
0.035,0.944,0.056,0.0,0.0,472,28,0,0,500
0.036,0.966,0.034,0.0,0.0,483,17,0,0,500
0.037,0.964,0.036,0.0,0.0,482,18,0,0,500
0.038,0.96,0.04,0.0,0.0,480,20,0,0,500
0.039,0.956,0.044,0.0,0.0,478,22,0,0,500
0.04,0.938,0.062,0.0,0.0,469,31,0,0,500
0.041,0.938,0.062,0.0,0.0,469,31,0,0,500
0.042,0.952,0.048,0.0,0.0,476,24,0,0,500
0.043,0.926,0.074,0.0,0.0,463,37,0,0,500
0.044,0.916,0.084,0.0,0.0,458,42,0,0,500
0.045,0.922,0.078,0.0,0.0,461,39,0,0,500
0.046,0.904,0.096,0.0,0.0,452,48,0,0,500
0.047,0.888,0.112,0.0,0.0,444,56,0,0,500
0.048,0.86,0.14,0.0,0.0,430,70,0,0,500
