sim_mass,landing_rate,crash_rate,oob_rate,timeout_rate,landings,crashes,oob,timeouts,n_episodes
0.033,0.9800399201596807,0.01996007984031936,0.0,0.0,491,10,0,0,501
0.034,0.986,0.014,0.0,0.0,493,7,0,0,500
0.035,0.966,0.034,0.0,0.0,483,17,0,0,500
0.036,0.986,0.014,0.0,0.0,493,7,0,0,500
0.037,0.992,0.008,0.0,0.0,496,4,0,0,500
0.038,0.992,0.008,0.0,0.0,496,4,0,0,500
0.039,0.99,0.01,0.0,0.0,495,5,0,0,500
0.04,0.9880239520958084,0.011976047904191617,0.0,0.0,495,6,0,0,501
0.041,0.99,0.01,0.0,0.0,495,5,0,0,500
0.042,0.992,0.008,0.0,0.0,496,4,0,0,500
0.043,0.982,0.018,0.0,0.0,491,9,0,0,500
0.044,0.99,0.01,0.0,0.0,495,5,0,0,500
0.045,0.988,0.012,0.0,0.0,494,6,0,0,500
0.046,0.984,0.016,0.0,0.0,492,8,0,0,500
0.047,0.9900199600798403,0.00998003992015968,0.0,0.0,496,5,0,0,501
0.048,0.978,0.022,0.0,0.0,489,11,0,0,500
0.049,0.988,0.012,0.0,0.0,494,6,0,0,500
0.05,0.976,0.024,0.0,0.0,488,12,0,0,500
0.051,0.986,0.014,0.0,0.0,493,7,0,0,500
0.052,0.976,0.024,0.0,0.0,488,12,0,0,500
0.053,0.968,0.032,0.0,0.0,484,16,0,0,500
0.054,0.9640718562874252,0.03592814371257485,0.0,0.0,483,18,0,0,501
