mass,landing_rate,crash_rate,oob_rate,timeout_rate,landings,crashes,oob,timeouts,n_episodes
0.028,0.962,0.038,0.0,0.0,481,19,0,0,500
0.029,0.978,0.022,0.0,0.0,489,11,0,0,500
0.03,0.988,0.012,0.0,0.0,494,6,0,0,500
0.031,0.972,0.028,0.0,0.0,486,14,0,0,500
0.032,0.992,0.008,0.0,0.0,496,4,0,0,500
0.033,0.994,0.006,0.0,0.0,497,3,0,0,500
0.034,0.996,0.004,0.0,0.0,498,2,0,0,500
0.035,1.0,0.0,0.0,0.0,500,0,0,0,500
0.036,0.998003992015968,0.001996007984031936,0.0,0.0,500,1,0,0,501
0.037,1.0,0.0,0.0,0.0,500,0,0,0,500
0.038,1.0,0.0,0.0,0.0,501,0,0,0,501
0.039,0.998,0.002,0.0,0.0,499,1,0,0,500
0.04,0.994,0.006,0.0,0.0,497,3,0,0,500
0.041,0.994,0.006,0.0,0.0,497,3,0,0,500
0.042,1.0,0.0,0.0,0.0,500,0,0,0,500
0.043,0.994,0.006,0.0,0.0,497,3,0,0,500
0.044,0.986,0.014,0.0,0.0,493,7,0,0,500
0.045,0.98,0.02,0.0,0.0,490,10,0,0,500
0.046,0.974,0.026,0.0,0.0,487,13,0,0,500
0.047,0.95,0.05,0.0,0.0,475,25,0,0,500
0.048,0.9402390438247012,0.05976095617529881,0.0,0.0,472,30,0,0,502
sim_mass,landing_rate,crash_rate,oob_rate,timeout_rate,landings,crashes,oob,timeouts,n_episodes
sim_mass,landing_rate,crash_rate,oob_rate,timeout_rate,landings,crashes,oob,timeouts,n_episodes
0.028,0.9540918163672655,0.04590818363273453,0.0,0.0,478,23,0,0,501
0.029,0.958,0.042,0.0,0.0,479,21,0,0,500
0.03,0.98,0.02,0.0,0.0,490,10,0,0,500
0.031,0.982,0.018,0.0,0.0,491,9,0,0,500
0.032,0.996,0.004,0.0,0.0,498,2,0,0,500
0.033,0.99,0.01,0.0,0.0,495,5,0,0,500
0.034,0.998,0.002,0.0,0.0,499,1,0,0,500
0.035,0.996,0.004,0.0,0.0,498,2,0,0,500
0.036,0.998,0.002,0.0,0.0,499,1,0,0,500
0.037,1.0,0.0,0.0,0.0,500,0,0,0,500
0.038,0.996,0.004,0.0,0.0,498,2,0,0,500
0.039,0.9940119760479041,0.005988023952095809,0.0,0.0,498,3,0,0,501
0.04,0.998,0.002,0.0,0.0,499,1,0,0,500
0.041,0.9940119760479041,0.005988023952095809,0.0,0.0,498,3,0,0,501
0.042,0.998,0.002,0.0,0.0,499,1,0,0,500
0.043,0.988,0.012,0.0,0.0,494,6,0,0,500
0.044,0.982,0.018,0.0,0.0,491,9,0,0,500
0.045,0.98,0.02,0.0,0.0,490,10,0,0,500
0.046,0.972,0.028,0.0,0.0,486,14,0,0,500
0.047,0.976,0.024,0.0,0.0,488,12,0,0,500
0.048,0.94,0.06,0.0,0.0,470,30,0,0,500
